,Neighborhood,Cluster,Neighborhood Latitude,Neighborhood Longitude,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
0,Adelaide,0,43.650486300000004,-79.3794979135182,Coffee Shop,Restaurant,Café,Hotel,Italian Restaurant,Seafood Restaurant,Gastropub,American Restaurant,Cosmetics Shop,Gym
1,Bathurst Quay,0,43.63579049999999,-79.39832900000005,Coffee Shop,Café,Park,Harbor / Marina,Dance Studio,Tunnel,Sculpture Garden,Caribbean Restaurant,Bank,Gym
2,Berczy Park,0,43.64798435000009,-79.37539591138848,Coffee Shop,Café,Restaurant,Hotel,Bakery,Seafood Restaurant,Japanese Restaurant,Italian Restaurant,Beer Bar,Gym
3,Brockton,4,43.65091729999997,-79.44002159999997,Bar,Vietnamese Restaurant,Park,Grocery Store,French Restaurant,Korean Restaurant,Café,Gastropub,Organic Grocery,Dive Bar
4,CN Tower,0,43.64256370000008,-79.38708718320477,Coffee Shop,Hotel,Pizza Place,Italian Restaurant,Bar,Scenic Lookout,Baseball Stadium,Restaurant,Gym,Bistro
5,Cabbagetown,0,43.664473399999956,-79.36698609999995,Restaurant,Café,Pizza Place,Diner,Italian Restaurant,Japanese Restaurant,Gastropub,Beer Store,Bakery,Pub
6,Central Bay Street,0,43.660707600000016,-79.38580180000005,Coffee Shop,Italian Restaurant,Sandwich Place,Café,Middle Eastern Restaurant,Yoga Studio,Modern European Restaurant,Gastropub,Bookstore,Steakhouse
7,Chinatown,4,43.65292369999998,-79.39803159999994,Bar,Café,Dessert Shop,Vietnamese Restaurant,Bakery,Mexican Restaurant,Cocktail Bar,Coffee Shop,Vegetarian / Vegan Restaurant,Dumpling Restaurant
8,Christie,4,43.66411060000001,-79.4184051000001,Korean Restaurant,Coffee Shop,Indian Restaurant,Dessert Shop,Ice Cream Shop,Mexican Restaurant,Grocery Store,Café,Japanese Restaurant,Cocktail Bar
9,Church and Wellesley,0,43.665524200000064,-79.38380109999986,Coffee Shop,Japanese Restaurant,Gay Bar,Sushi Restaurant,Restaurant,Dance Studio,Men's Store,Café,Burger Joint,Gastropub
10,Commerce Court,0,43.6480951499999,-79.3790254309959,Coffee Shop,Café,Restaurant,Hotel,Japanese Restaurant,Gym,American Restaurant,Beer Bar,Deli / Bodega,Gastropub
11,Davisville,0,43.69793600000002,-79.39729080000004,Sushi Restaurant,Italian Restaurant,Coffee Shop,Sporting Goods Shop,Convenience Store,Pub,Park,Café,Trail,Spa
12,Davisville North,0,43.69793600000002,-79.39729080000004,Sushi Restaurant,Italian Restaurant,Coffee Shop,Sporting Goods Shop,Convenience Store,Pub,Park,Café,Trail,Spa
13,Deer Park,0,43.68809000000006,-79.39409350000004,Coffee Shop,Italian Restaurant,Sushi Restaurant,Restaurant,Thai Restaurant,Grocery Store,Café,Bank,Pizza Place,Burger Joint
14,Design Exchange,0,43.647741199999984,-79.38011449999995,Coffee Shop,Café,Restaurant,American Restaurant,Hotel,Gym,Deli / Bodega,Gastropub,Seafood Restaurant,Bakery
15,Dovercourt Village,4,43.665306900000004,-79.4326362,Café,Brazilian Restaurant,Bar,Pizza Place,Restaurant,Park,Coffee Shop,Noodle House,Optical Shop,Opera House
16,Dufferin,4,43.66020189999996,-79.43571909999994,Bar,Bakery,Coffee Shop,Café,Mexican Restaurant,Cocktail Bar,Sandwich Place,Beer Store,Japanese Restaurant,Vegetarian / Vegan Restaurant
17,Exhibition Place,0,43.63346924999998,-79.41786518970606,Theme Park,Soccer Stadium,Arts & Crafts Store,Athletics & Sports,Music Venue,Poutine Place,Coffee Shop,Farm,Festival,Nightclub
18,First Canadian Place,0,43.648768099999955,-79.38169179283045,Coffee Shop,Café,Restaurant,Hotel,Gym,American Restaurant,Gastropub,Deli / Bodega,Seafood Restaurant,Japanese Restaurant
19,Forest Hill North & West,3,43.6935586,-79.41390229999999,Accessories Store,Home Service,Bank,Mediterranean Restaurant,Night Market,Optical Shop,Opera House,Office,North Indian Restaurant,Noodle House
20,Forest Hill SE,3,43.6935586,-79.41390229999999,Accessories Store,Home Service,Bank,Mediterranean Restaurant,Night Market,Optical Shop,Opera House,Office,North Indian Restaurant,Noodle House
