,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Regent Park,43.6607056,-79.3604569,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
1,Regent Park,43.6607056,-79.3604569,Daniels Spectrum,43.66013679276432,-79.36180783336452,Performing Arts Venue
2,Regent Park,43.6607056,-79.3604569,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
3,Regent Park,43.6607056,-79.3604569,Thai To Go,43.663418,-79.36071,Thai Restaurant
4,Regent Park,43.6607056,-79.3604569,Paintbox Bistro,43.660050475903624,-79.36285470971839,Restaurant
5,Regent Park,43.6607056,-79.3604569,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
6,Regent Park,43.6607056,-79.3604569,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
7,Regent Park,43.6607056,-79.3604569,Toronto Humane Society,43.65769802359708,-79.3565828808708,Animal Shelter
8,Regent Park,43.6607056,-79.3604569,Mercedes-Benz Downtown,43.66143119502613,-79.35658517368444,Auto Dealership
9,Regent Park,43.6607056,-79.3604569,Regent Park,43.660382523982804,-79.36181011844143,Park
10,Regent Park,43.6607056,-79.3604569,Qi sushi,43.66255180762697,-79.36425843422568,Sushi Restaurant
11,Regent Park,43.6607056,-79.3604569,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck
12,Regent Park,43.6607056,-79.3604569,Shoppers Drug Mart,43.660204,-79.361332,Pharmacy
13,Regent Park,43.6607056,-79.3604569,Wendy’s,43.660403362711776,-79.36062902212149,Fast Food Restaurant
14,Regent Park,43.6607056,-79.3604569,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
15,Regent Park,43.6607056,-79.3604569,Tim Hortons,43.659935,-79.3613063,Coffee Shop
16,Regent Park,43.6607056,-79.3604569,The Beer Store,43.657773,-79.3574632,Beer Store
17,Regent Park,43.6607056,-79.3604569,Sultan Of Samosas,43.66022749787444,-79.36622571571063,Indian Restaurant
18,Regent Park,43.6607056,-79.3604569,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
19,Regent Park,43.6607056,-79.3604569,Tim Hortons,43.6599299,-79.3659798,Coffee Shop
20,Regent Park,43.6607056,-79.3604569,FreshCo,43.65955158801718,-79.36585713164392,Grocery Store
21,Harbourfront,43.6400801,-79.3801495,Harbour Square Park,43.63925269130776,-79.37839547902978,Park
22,Harbourfront,43.6400801,-79.3801495,Lake Ontario,43.63894493157648,-79.37966465950012,Lake
23,Harbourfront,43.6400801,-79.3801495,Harbourfront,43.639525632239106,-79.38068838052389,Neighborhood
24,Harbourfront,43.6400801,-79.3801495,Miku,43.64137436,-79.37753063,Japanese Restaurant
25,Harbourfront,43.6400801,-79.3801495,BeaverTails,43.639736,-79.380068,Dessert Shop
26,Harbourfront,43.6400801,-79.3801495,Natrel Pond/Rink,43.6384313677662,-79.38252754335107,Skating Rink
27,Harbourfront,43.6400801,-79.3801495,Fleck Dance Theater,43.638300366812686,-79.3804699399247,Dance Studio
28,Harbourfront,43.6400801,-79.3801495,Pearl Harbourfront,43.63815654013541,-79.38068763743328,Chinese Restaurant
29,Harbourfront,43.6400801,-79.3801495,Harbourfront Centre,43.63855578926675,-79.38319016270458,Performing Arts Venue
30,Harbourfront,43.6400801,-79.3801495,Real Sports Apparel,43.64285984835777,-79.38018363195047,Sporting Goods Shop
31,Harbourfront,43.6400801,-79.3801495,Mos Mos,43.64163954520267,-79.3775517786762,Coffee Shop
32,Harbourfront,43.6400801,-79.3801495,Boxcar Social,43.63831906511549,-79.38246311921247,Café
33,Harbourfront,43.6400801,-79.3801495,Sharetea,43.640175967763966,-79.37960567018246,Bubble Tea Shop
34,Harbourfront,43.6400801,-79.3801495,The Power Plant,43.63827200397285,-79.38199390946676,Art Gallery
35,Harbourfront,43.6400801,-79.3801495,Ontario Square,43.63937829745867,-79.38209598496967,Plaza
36,Harbourfront,43.6400801,-79.3801495,iQ Food Co,43.642851,-79.382081,Salad Place
37,Harbourfront,43.6400801,-79.3801495,Longo's Maple Leaf Square,43.64251679604069,-79.38139301653129,Supermarket
38,Harbourfront,43.6400801,-79.3801495,Maple Leaf Square,43.64292522840183,-79.38089182467687,Plaza
39,Harbourfront,43.6400801,-79.3801495,Joe Bird,43.6382035241723,-79.38035466343936,Fried Chicken Joint
40,Harbourfront,43.6400801,-79.3801495,Roundhouse Park,43.64174513889102,-79.38427882922346,Park
41,Harbourfront,43.6400801,-79.3801495,Evviva Restaurant,43.64157991761808,-79.38345644030795,Deli / Bodega
42,Harbourfront,43.6400801,-79.3801495,RS - Real Sports,43.64255846521551,-79.37996506690979,Sports Bar
43,Harbourfront,43.6400801,-79.3801495,e11even,43.64242558687748,-79.38144094115985,New American Restaurant
44,Harbourfront,43.6400801,-79.3801495,Air Canada Club,43.643224100030416,-79.37915938219528,Lounge
45,Harbourfront,43.6400801,-79.3801495,Scotiabank Arena,43.64344617535107,-79.37903988889991,Basketball Stadium
46,Harbourfront,43.6400801,-79.3801495,Labatt Breweries of Canada,43.63828189167837,-79.38037771487727,Brewery
47,Harbourfront,43.6400801,-79.3801495,Pie Bar,43.63817355603517,-79.38054644461133,Pizza Place
48,Harbourfront,43.6400801,-79.3801495,Delta Hotels by Marriott Toronto,43.6428819,-79.3839491,Hotel
49,Harbourfront,43.6400801,-79.3801495,Lick It Gelato,43.63925633222479,-79.38464951914256,Ice Cream Shop
50,Harbourfront,43.6400801,-79.3801495,Kupfert & Kim,43.64117858582677,-79.37814448224783,Vegetarian / Vegan Restaurant
51,Harbourfront,43.6400801,-79.3801495,TELUS,43.64331243103257,-79.38099939294844,IT Services
52,Harbourfront,43.6400801,-79.3801495,Le Germain Hotel,43.64312502979691,-79.38091770864038,Hotel
53,Harbourfront,43.6400801,-79.3801495,Lavazza Espression,43.63953746292591,-79.38176322686563,Coffee Shop
54,Harbourfront,43.6400801,-79.3801495,Taverna Mercatto,43.64262514139939,-79.38325673989138,Italian Restaurant
55,Harbourfront,43.6400801,-79.3801495,PawsWay,43.63859915782706,-79.38499178154079,Event Space
56,Harbourfront,43.6400801,-79.3801495,Aroma Espresso Bar,43.6423209103846,-79.38374932648954,Café
57,Harbourfront,43.6400801,-79.3801495,"The Westin Harbour Castle, Toronto",43.64121139206991,-79.37574863433838,Hotel
58,Harbourfront,43.6400801,-79.3801495,Harbour 60 Toronto,43.64222021431867,-79.37794459004243,Steakhouse
59,Harbourfront,43.6400801,-79.3801495,SOCO Kitchen+Bar,43.64280448399251,-79.38392149415381,Bistro
60,Harbourfront,43.6400801,-79.3801495,Corks Beer & Wine Bar,43.64249338656422,-79.38154042927468,Bar
61,Harbourfront,43.6400801,-79.3801495,Delta Toronto Club Lounge,43.64308454373067,-79.38388489051405,Roof Deck
62,Harbourfront,43.6400801,-79.3801495,The Chartroom Bar & Lounge,43.640485908474695,-79.37604353917551,Hotel Bar
63,Harbourfront,43.6400801,-79.3801495,Amsterdam Brewhouse,43.63812210550607,-79.38480300808894,Brewery
64,Harbourfront,43.6400801,-79.3801495,Booster Juice,43.64322536,-79.3812383,Juice Bar
65,Harbourfront,43.6400801,-79.3801495,Steam Whistle's Biergarten,43.64066595472727,-79.38585895302366,Restaurant
66,Harbourfront,43.6400801,-79.3801495,Aroma Espresso Bar,43.64074017304165,-79.37847790115718,Coffee Shop
67,Harbourfront,43.6400801,-79.3801495,Subway,43.6397080530486,-79.38344130418051,Sandwich Place
68,Harbourfront,43.6400801,-79.3801495,Toronto Railway Heritage Centre,43.64130010529897,-79.38588431405732,History Museum
69,Harbourfront,43.6400801,-79.3801495,Gonoe Sushi Japanese Restaurant,43.63901430970685,-79.38591360078077,Sushi Restaurant
70,Harbourfront,43.6400801,-79.3801495,Piazza Manna,43.641460067165184,-79.37771914472566,Italian Restaurant
71,Harbourfront,43.6400801,-79.3801495,Starbucks,43.64309,-79.383071,Coffee Shop
72,Harbourfront,43.6400801,-79.3801495,World Café at Harbourfront Centre,43.63834730048568,-79.383045755058,Café
73,Harbourfront,43.6400801,-79.3801495,McCafé,43.644490691919735,-79.38110912246584,Café
74,Harbourfront,43.6400801,-79.3801495,Uncle Tetsu's Japanese Cheesecake,43.64442750617172,-79.38131123056226,Bakery
75,Harbourfront,43.6400801,-79.3801495,Dollarama,43.641765,-79.379589,Discount Store
76,Harbourfront,43.6400801,-79.3801495,Enwave Theatre,43.63863608843057,-79.38229942602973,Theater
77,Harbourfront,43.6400801,-79.3801495,Tim Hortons,43.63882773618699,-79.38037276268005,Coffee Shop
78,Harbourfront,43.6400801,-79.3801495,Alexandro's World Famous Gyros,43.6416627086796,-79.3752137736969,Greek Restaurant
79,Harbourfront,43.6400801,-79.3801495,Panago,43.64251764051932,-79.38359138522554,Pizza Place
80,Harbourfront,43.6400801,-79.3801495,Radisson Admiral Hotel Toronto-Harbourfront,43.6388472,-79.3855839,Hotel
81,Harbourfront,43.6400801,-79.3801495,Harbourfront Wavedecks,43.6389104293985,-79.38485064893273,Scenic Lookout
82,Harbourfront,43.6400801,-79.3801495,Popeyes Louisiana Kitchen,43.639864,-79.381136,Fried Chicken Joint
83,Harbourfront,43.6400801,-79.3801495,Oyshi Sushi,43.64234005516476,-79.37585304260914,Sushi Restaurant
84,Harbourfront,43.6400801,-79.3801495,Starbucks,43.640257,-79.381731,Coffee Shop
85,Harbourfront,43.6400801,-79.3801495,Toronto Railway Museum,43.64074506722835,-79.38598104134535,History Museum
86,Harbourfront,43.6400801,-79.3801495,Redpath Stage,43.63876358449261,-79.38331731184844,Music Venue
87,Harbourfront,43.6400801,-79.3801495,Starbucks,43.64265659071355,-79.3833577475679,Coffee Shop
88,Harbourfront,43.6400801,-79.3801495,Starbucks,43.64099011203675,-79.37626361846924,Coffee Shop
89,Harbourfront,43.6400801,-79.3801495,Sushi Shop,43.643485,-79.38096,Restaurant
90,Harbourfront,43.6400801,-79.3801495,Iron Rose Tea Gallery,43.6400591104487,-79.38315167425998,Tea Room
91,Harbourfront,43.6400801,-79.3801495,Buster's Sea Cove,43.642636994917666,-79.38337001427526,Seafood Restaurant
92,Harbourfront,43.6400801,-79.3801495,Winners,43.64206291678669,-79.37900143460836,Department Store
93,Harbourfront,43.6400801,-79.3801495,WestJet Stage,43.63802210524934,-79.38353594515505,Music Venue
94,Harbourfront,43.6400801,-79.3801495,A&W,43.64136651819956,-79.37794165160912,Fast Food Restaurant
95,Harbourfront,43.6400801,-79.3801495,Indian Roti House,43.63906038875002,-79.38542224544638,Indian Restaurant
96,Harbourfront,43.6400801,-79.3801495,Lucky Clover Sports Pub,43.641136939105614,-79.38335124348639,Sports Bar
97,Harbourfront,43.6400801,-79.3801495,Subway,43.64105847366237,-79.37858572023777,Sandwich Place
