,Neighborhood,Top10,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
0,Adelaide,"['Coffee Shop', 'Restaurant', 'Café', 'Hotel', 'Italian Restaurant', 'Seafood Restaurant', 'Gastropub', 'American Restaurant', 'Cosmetics Shop', 'Gym']",Coffee Shop,Restaurant,Café,Hotel,Italian Restaurant,Seafood Restaurant,Gastropub,American Restaurant,Cosmetics Shop,Gym
1,Bathurst Quay,"['Coffee Shop', 'Café', 'Park', 'Harbor / Marina', 'Dance Studio', 'Tunnel', 'Sculpture Garden', 'Caribbean Restaurant', 'Bank', 'Gym']",Coffee Shop,Café,Park,Harbor / Marina,Dance Studio,Tunnel,Sculpture Garden,Caribbean Restaurant,Bank,Gym
2,Berczy Park,"['Coffee Shop', 'Café', 'Restaurant', 'Hotel', 'Bakery', 'Seafood Restaurant', 'Japanese Restaurant', 'Italian Restaurant', 'Beer Bar', 'Gym']",Coffee Shop,Café,Restaurant,Hotel,Bakery,Seafood Restaurant,Japanese Restaurant,Italian Restaurant,Beer Bar,Gym
3,Brockton,"['Bar', 'Vietnamese Restaurant', 'Park', 'Grocery Store', 'French Restaurant', 'Korean Restaurant', 'Café', 'Gastropub', 'Organic Grocery', 'Dive Bar']",Bar,Vietnamese Restaurant,Park,Grocery Store,French Restaurant,Korean Restaurant,Café,Gastropub,Organic Grocery,Dive Bar
4,CN Tower,"['Coffee Shop', 'Hotel', 'Pizza Place', 'Italian Restaurant', 'Bar', 'Scenic Lookout', 'Baseball Stadium', 'Restaurant', 'Gym', 'Bistro']",Coffee Shop,Hotel,Pizza Place,Italian Restaurant,Bar,Scenic Lookout,Baseball Stadium,Restaurant,Gym,Bistro
5,Cabbagetown,"['Restaurant', 'Café', 'Pizza Place', 'Diner', 'Italian Restaurant', 'Japanese Restaurant', 'Gastropub', 'Beer Store', 'Bakery', 'Pub']",Restaurant,Café,Pizza Place,Diner,Italian Restaurant,Japanese Restaurant,Gastropub,Beer Store,Bakery,Pub
6,Central Bay Street,"['Coffee Shop', 'Italian Restaurant', 'Sandwich Place', 'Café', 'Middle Eastern Restaurant', 'Yoga Studio', 'Modern European Restaurant', 'Gastropub', 'Bookstore', 'Steakhouse']",Coffee Shop,Italian Restaurant,Sandwich Place,Café,Middle Eastern Restaurant,Yoga Studio,Modern European Restaurant,Gastropub,Bookstore,Steakhouse
7,Chinatown,"['Bar', 'Café', 'Dessert Shop', 'Vietnamese Restaurant', 'Bakery', 'Mexican Restaurant', 'Cocktail Bar', 'Coffee Shop', 'Vegetarian / Vegan Restaurant', 'Dumpling Restaurant']",Bar,Café,Dessert Shop,Vietnamese Restaurant,Bakery,Mexican Restaurant,Cocktail Bar,Coffee Shop,Vegetarian / Vegan Restaurant,Dumpling Restaurant
8,Christie,"['Korean Restaurant', 'Coffee Shop', 'Indian Restaurant', 'Dessert Shop', 'Ice Cream Shop', 'Mexican Restaurant', 'Grocery Store', 'Café', 'Japanese Restaurant', 'Cocktail Bar']",Korean Restaurant,Coffee Shop,Indian Restaurant,Dessert Shop,Ice Cream Shop,Mexican Restaurant,Grocery Store,Café,Japanese Restaurant,Cocktail Bar
9,Church and Wellesley,"['Coffee Shop', 'Japanese Restaurant', 'Gay Bar', 'Sushi Restaurant', 'Restaurant', 'Dance Studio', ""Men's Store"", 'Café', 'Burger Joint', 'Gastropub']",Coffee Shop,Japanese Restaurant,Gay Bar,Sushi Restaurant,Restaurant,Dance Studio,Men's Store,Café,Burger Joint,Gastropub
